gene_id,gene_symbol,GNN Score,tier,evidence_count,pmids,first_pub_year,Tissue,titles,abstracts
ENSG00000187094,CCK,0.53085846,weak,1,33230962,2020,Blood; Gastrointestinal (unspecified segment),Association Between Ketosis and Changes in Appetite Markers with Weight Loss Following a Very Low-Energy Diet.,"OBJECTIVE: The purpose of this study was to examine whether the degree of ketosis, measured as plasma beta-hydroxybutyrate (betaHB) in fasting, was associated with changes in appetite feelings and plasma concentration of appetite-related hormones after weight loss. METHODS: A total of 87 individuals with obesity (BMI: 36.5 +/- 4.0 kg/m(2) , age: 42.4 +/- 9.7 years, 39 males) underwent 8 weeks of a very low-energy diet. Body weight/composition, plasma concentration of betaHB, and appetite-related hormones (active ghrelin, active glucagon-like peptide 1 [GLP-1], total peptide YY, cholecystokinin [CCK], and insulin) and subjective appetite feelings were measured at baseline and week 9. RESULTS: Participants lost 17.7 +/- 4.1 kg and were ketotic (betaHB: 1.24 +/- 0.82 mmol/L in fasting) at week 9. A negative association was found between betaHB in fasting at week 9 and changes in basal (r = -0.315, P = 0.003) and postprandial ghrelin concentration (r = -0.286, P = 0.008), and a positive association was found with the change in postprandial GLP-1 (r = 0.244, P = 0.025) and CCK (r = 0.228, P = 0.035). No association was seen between betaHB in fasting and changes in peptide YY or subjective feelings of appetite. CONCLUSIONS: betaHB plasma concentration in fasting is associated with lower concentrations of the hunger hormone ghrelin and increased concentrations of the satiety hormones GLP-1 and CCK. Future studies should explore the molecular mechanisms by which betaHB modulates the secretion of gut hormones."
ENSG00000108691,CCL2,0.99697185,strong,5,22776897;33364251;38176626;38195093;39976785,2012,Blood; Brain/CNS; Eye/Retina; NS; Skeletal muscle; Vasculature,Elevated acetoacetate and monocyte chemotactic protein-1 levels in cord blood of infants of diabetic mothers.;Ketone Monoester Supplementation Does Not Expedite the Recovery of Indices of Muscle Damage After Eccentric Exercise.;A very-low carbohydrate content in a high-fat diet modifies the plasma metabolome and impacts systemic inflammation and experimental atherosclerosis.;Effect of the ketone beta-hydroxybutyrate on markers of inflammation and immune function in adults with type 2 diabetes.;beta-Hydroxybutyrate mitigates the detrimental effects of high glucose in human retinal pigment epithelial ARPE-19 cells.,"BACKGROUND: Infants of diabetic mothers (IDMs) are at increased risk for metabolic complications. Type 1 and some type 2 diabetic patients have elevated levels of the ketone bodies acetoacetate (AA) and beta-hydroxybutyrate (BHB). OBJECTIVE: The aim of this study was to examine how hyperketonemia in diabetic mothers affects markers of inflammation and oxidative stress in their offspring. METHODS: Blood was obtained from 23 diabetic mothers and 13 healthy mothers and their infants' umbilical cords at delivery. Interleukin-8, monocyte chemotactic protein-1 (MCP-1) and protein carbonyl (protein oxidation) levels were determined by ELISA. U937 human monocyte cell culture was used to examine the effect of AA and BHB on secretion of MCP-1. RESULTS: There was a significant increase in the levels of AA in cord blood of IDMs compared with cord blood of infants of healthy mothers. A significant increase in the levels of protein oxidation (p < 0.05) and MCP-1 levels (p < 0.05) was observed in the cord blood of IDMs. The level of MCP-1 correlated significantly (r = 0.51, p = 0.01) with the concentration of AA in the IDMs. In further experiments with cultured monocytes treated with exogenous AA (0-4 mM), a significant increase in MCP-1 secretion was observed in AA- but not BHB-treated monocytes. CONCLUSION: Blood levels of AA and MCP-1 are elevated in IDMs, which may contribute to the development of the metabolic complications seen in IDMs.;Purpose: The purpose of this study was to evaluate the effects of a ketone monoester supplement on indices of muscle damage during recovery after eccentric exercise. Methods: In a randomized, double-blind, independent group design, 20 moderately active healthy young adults consumed 360 mg per kg(-1) bodyweight of a ketone monoester (KET) or energy-matched carbohydrate (CON) supplement twice daily following eccentric exercise (drop jumps). Maximal isometric voluntary contraction (MIVC) torque, counter-movement jump (CMJ) height, and muscle soreness were measured before (PRE), and immediately (POST), 24 h and 48 h post-exercise. Blood samples were collected for analysis of beta-hydroxybutyrate (beta-OHB), creatine kinase (CK), and select pro- and anti-inflammatory cytokines. Results: Peak blood beta-OHB concentration after supplement intake was greater (P < 0.001) in KET (4.4 +/- 0.8 mM) vs. CON (0.4 +/- 0.3 mM). Exercise increased CK concentration at 24 h and 48 h vs. PRE (time: P < 0.001) with no difference between KET and CON. Exercise reduced MIVC (KET: -19.9 +/- 14.6, CON: -22.6 +/- 11.1%) and CMJ (KET: -11.0 +/- 7.5, CON: -13.0 +/- 8.7%) at POST relative PRE, however, there was no difference between KET and CON on the recovery of MIVC at 24 h (KET: -15.4 +/- 20.4, CON: -18.7 +/- 20.1%) or 48 h (KET: -7.2 +/- 21.2, CON: -11.8 +/- 20.2%), or CMJ at 24 h (KET: -9.2 +/- 11.5, CON: -13.4 +/- 10.8) or 48 h (KET: -12.5 +/- 12.4, CON: -9.1 +/- 11.7). Muscle soreness was increased during post-exercise recovery (time: P < 0.001) with no differences between KET and CON. Monocyte chemoattractant protein-1 was greater (group: P = 0.007) in CON (236 +/- 11 pg/mL) vs. KET (187 +/- 11 pg/mL). Conclusion: In conclusion, twice daily ingestion of a ketone monoester supplement that acutely elevates blood beta-OHB concentration does not enhance the recovery of muscle performance or reduce muscle soreness following eccentric exercise in moderately active, healthy young adults.;Ketogenic diets (KDs) are very high-fat low-carbohydrate diets that promote nutritional ketosis and are widely used for weight loss, although concerns about potential adverse cardiovascular effects remain. We investigated a very high-fat KD's vascular impact and plasma metabolic signature compared to a non-ketogenic high-fat diet (HFD). Apolipoprotein E deficient (ApoE (-/-)) mice were fed a KD (%kcal:81:1:18, fat/carbohydrate/protein), a non-ketogenic high-fat diet with half of the fat content (HFD) (%kcal:40:42:18, fat/carbohydrate/protein) for 12 weeks. Plasma samples were used to quantify the major ketone body beta-hydroxybutyrate (BHB) and several pro-inflammatory cytokines (IL-6, MCP-1, MIP-1alpha, and TNF alpha), and to targeted metabolomic profiling by mass spectrometry. In addition, aortic atherosclerotic lesions were quantified ex-vivo by magnetic resonance imaging (MRI) on a 14-tesla system. KD was atherogenic when compared to the control diet, but KD mice, when compared to the HFD group (1) had markedly higher levels of BHB and lower levels of cytokines, confirming the presence of ketosis that alleviated the well-established fat-induced systemic inflammation, (2) displayed significant changes in the plasma metabolome that included a decrease in lipophilic metabolites and an increase in hydrophilic metabolites, (3) had significantly lower levels of several atherogenic lipid metabolites, including phosphatidylcholines, cholesterol esters, sphingomyelins, and ceramides, and (4) presented significantly lower aortic plaque burden. KD was atherogenic and was associated with specific metabolic changes but alleviated the fat-induced inflammation and lessened the progression of atherosclerosis when compared to the HFD.;Pre-clinical and cell culture evidence supports the role of the ketone beta-hydroxybutyrate (BHB) as an immunomodulatory molecule that may inhibit inflammatory signalling involved in several chronic diseases such as type 2 diabetes (T2D), but studies in humans are lacking. Therefore, we investigated the anti-inflammatory effect of BHB in humans across three clinical trials. To investigate if BHB suppressed pro-inflammatory cytokine secretion, we treated LPS-stimulated leukocytes from overnight-fasted adults at risk for T2D with BHB (Study 1). Next (Study 2), we investigated if exogenously raising BHB acutely in vivo by ketone monoester supplementation (KME) in adults with T2D would suppress pro-inflammatory plasma cytokines. In Study 3, we investigated the effect of BHB on inflammation via ex vivo treatment of LPS-stimulated leukocytes with BHB and in vivo thrice-daily pre-meal KME for 14 days in adults with T2D. Ex vivo treatment with BHB suppressed LPS-stimulated IL-1beta, TNF-alpha, and IL-6 secretion and increased IL-1RA and IL-10 (Study 1). Plasma IL-10 increased by 90 min following ingestion of a single dose of KME in T2D, which corresponded to peak blood BHB (Study 2). Finally, 14 days of thrice-daily KME ingestion did not significantly alter plasma cytokines or leukocyte subsets including monocyte and T-cell polarization (Study 3). However, direct treatment of leukocytes with BHB modulated TNF-alpha, IL-1beta, IFN-gamma, and MCP-1 secretion in a time- and glucose-dependent manner (Study 3). Therefore, BHB appears to be anti-inflammatory in T2D, but this effect is transient and is modulated by the presence of disease, glycaemia, and exposure time.;High glucose leads to cellular damage and dysfunction in the retina. Dietary interventions, including the use of ketogenic diets, have been explored for their potential to reduce the adverse effects of hyperglycemia. beta-Hydroxybutyrate (BHB), a ketone body, has immune and anti-inflammatory properties. This study aims to investigate whether BHB ameliorates the harmful effects induced by high glucose in ARPE-19 cells, a model of retinal pigment epithelium. We investigated the effects induced by high glucose and/or BHB on viability, migration, colony-forming ability, cell cycle progression and cytokine production. Our data indicate that high glucose significantly reduces the viability of ARPE-19 cells with no significant changes in apoptosis or autophagy, while inducing cell cytostasis. On the other hand, BHB exerts a protective effect on ARPE-19 cells under hyperglycemic conditions improving cell viability and alleviating glucose-induced cell cycle arrest. Additionally, BHB treatment affects the expression of IL-8 and IL-17alpha, as well as of MCP-1, modulating the inflammatory response, cell migration and wound healing. In conclusion, this study highlights the potential protective role of BHB against the detrimental effects induced by high glucose on ARPE-19 cells. These findings support the use of ketone bodies in mitigating high glucose-induced cellular damage. Future research will be critical to translate these findings to the clinical practice for metabolic diseases."
ENSG00000277632,CCL3,0.5009899,weak,1,38176626,2024,Vasculature,A very-low carbohydrate content in a high-fat diet modifies the plasma metabolome and impacts systemic inflammation and experimental atherosclerosis.,"Ketogenic diets (KDs) are very high-fat low-carbohydrate diets that promote nutritional ketosis and are widely used for weight loss, although concerns about potential adverse cardiovascular effects remain. We investigated a very high-fat KD's vascular impact and plasma metabolic signature compared to a non-ketogenic high-fat diet (HFD). Apolipoprotein E deficient (ApoE (-/-)) mice were fed a KD (%kcal:81:1:18, fat/carbohydrate/protein), a non-ketogenic high-fat diet with half of the fat content (HFD) (%kcal:40:42:18, fat/carbohydrate/protein) for 12 weeks. Plasma samples were used to quantify the major ketone body beta-hydroxybutyrate (BHB) and several pro-inflammatory cytokines (IL-6, MCP-1, MIP-1alpha, and TNF alpha), and to targeted metabolomic profiling by mass spectrometry. In addition, aortic atherosclerotic lesions were quantified ex-vivo by magnetic resonance imaging (MRI) on a 14-tesla system. KD was atherogenic when compared to the control diet, but KD mice, when compared to the HFD group (1) had markedly higher levels of BHB and lower levels of cytokines, confirming the presence of ketosis that alleviated the well-established fat-induced systemic inflammation, (2) displayed significant changes in the plasma metabolome that included a decrease in lipophilic metabolites and an increase in hydrophilic metabolites, (3) had significantly lower levels of several atherogenic lipid metabolites, including phosphatidylcholines, cholesterol esters, sphingomyelins, and ceramides, and (4) presented significantly lower aortic plaque burden. KD was atherogenic and was associated with specific metabolic changes but alleviated the fat-induced inflammation and lessened the progression of atherosclerosis when compared to the HFD."
ENSG00000135218,CD36,0.678495,weak,1,36361698,2022,Adipose tissue; Heart,Ketone Body Exposure of Cardiomyocytes Impairs Insulin Sensitivity and Contractile Function through Vacuolar-Type H(+)-ATPase Disassembly-Rescue by Specific Amino Acid Supplementation.,"The heart is metabolically flexible. Under physiological conditions, it mainly uses lipids and glucose as energy substrates. In uncontrolled diabetes, the heart switches towards predominant lipid utilization, which over time is detrimental to cardiac function. Additionally, diabetes is accompanied by high plasma ketone levels and increased utilization of energy provision. The administration of exogenous ketones is currently being investigated for the treatment of cardiovascular disease. Yet, it remains unclear whether increased cardiac ketone utilization is beneficial or detrimental to cardiac functioning. The mechanism of lipid-induced cardiac dysfunction includes disassembly of the endosomal proton pump (named vacuolar-type H+-ATPase, v-ATPase) as the main early onset event, followed by endosomal de-acidification/dysfunction. The de-acidified endosomes can no longer serve as a storage compartment for lipid transporter CD36, which then translocates to the sarcolemma to induce lipid accumulation, insulin resistance, and contractile dysfunction. Lipid-induced v-ATPase disassembly is counteracted by the supply of specific amino acids. Here, we tested the effect of ketone bodies on v-ATPase assembly status and regulation of lipid uptake in rodent/human cardiomyocytes. 3-beta-hydroxybutyrate (3HB) exposure induced v-ATPase disassembly and the entire cascade of events leading to contractile dysfunction and insulin resistance, similar to conditions of lipid oversupply. Acetoacetate addition did not induce v-ATPase dysfunction. The negative effects of 3HB could be prevented by addition of specific amino acids. Hence, in sedentary/prediabetic subjects ketone bodies should be used with caution because of possible aggravation of cardiac insulin resistance and further loss of cardiac function. When these latter maladaptive conditions would occur, specific amino acids could potentially be a treatment option."
ENSG00000129226,CD68,0.56275445,weak,2,32069870;38311044,2020,Brain/CNS,beta-hydroxybutyrate Impedes the Progression of Alzheimer's Disease and Atherosclerosis in ApoE-Deficient Mice.;Sex-specific effects of ketogenic diet on anxiety-like behavior and neuroimmune response in C57Bl/6J mice.,"beta-hydroxybutyrate (beta-OHB) has been shown to exert an anti-inflammatory activity. Apolipoprotein-E (ApoE) is strongly associated with atherosclerosis and Alzheimer's disease (AD). This study aimed to explore the therapeutic effect of beta-OHB in the brain and the aorta of high-fat diet (HFD)-fed ApoE-deficient mice. We found in Apo-E deficient mice that beta-OHB attenuated lipid deposition in the choroid plexus (ChP) and decreased amyloid plaque in the substantia nigra pars compacta. We also found decreased CD68-positive macroglia infiltration of the ChP in beta-OHB-treated ApoE-deficient mice. beta-OHB treatment ameliorated IgG extravasation into the hippocampal region of the brain. In vitro study using ChP mice cell line revealed that beta-OHB attenuated oxidized low-density lipoprotein-induced ApoE-specific differentially expressed inflammatory ChP genes. Treatment with beta-OHB reduced aortic plaque formation without affecting blood lipid profiles and decreased serum production of resistin, a well-established risk factor for both AD and atherosclerosis. Thus, the current study suggests and describes the therapeutic potential of beta-OHB for the treatment of AD and atherosclerosis.;The ketogenic diet (KD) has been shown to reduce anxiety and enhance cognitive functions in neurological diseases. However, the sex-specific effects of KD on anxiety-like behavior in healthy individuals and the underlying molecular mechanisms contributing to these effects, including neuroinflammation, are unelucidated. This study investigated the sex-specific effects of KD on anxiety-like behavior and the neuroimmune response in the prefrontal cortex (PFC) and hippocampus of healthy C57BL/6J male and female mice. Animals were fed either a control diet (CD- 17% fat, 65% carb, 18% protein) or a KD (80% fat, 5% carb, 15% protein) for 4 weeks. KD increased the levels of circulating beta-hydroxybutyrate (BHB) both in males and females. However, PFC BHB levels were found to be elevated only in KD males. Moreover, KD did not affect the behavior of females but improved motor abilities and reduced anxiety levels in males. KD suppressed the mRNA expression of the pan microglial markers (Cd68, P2ry12) and induced morphological changes in the male PFC microglia. A sex-specific decrease in IL1beta and an increase in IL-10 levels was found in the PFC of KD males. A similar trend was observed in the hippocampus of males where KD reduced the mRNA expression of P2ry12, Il1beta, and cFos. Additionally, BHB increased the production of IL-10 whereas it decreased the production of IL1beta from human microglia in in-vitro conditions. In summary, these results demonstrate that the anxiolytic and motor function enhancement abilities of KD are male-specific. Reduced pro-inflammatory and improved anti-inflammatory factors in the male PFC and hippocampus may underlie these effects."
ENSG00000114013,CD86,0.63645154,weak,1,39233260,2024,Gastrointestinal (unspecified segment),A disturbed metabolite-GPCR axis is associated with microbial dysbiosis in IBD patients: Potential role of GPR109A in macrophages.,"Inflammatory Bowel Disease (IBD) is a chronic inflammatory disorder of the gastrointestinal tract characterized by disrupted immune function. Indeed, gut microbiota dysbiosis and metabolomic profile alterations, are hallmarks of IBD. In this scenario, metabolite-sensing G-protein coupled receptors (GPCRs), involved in several biological processes, have emerged as pivotal players in the pathophysiology of IBD. The aim of this study was to characterize the axis microbiota-metabolite-GPCR in intestinal surgical resections from IBD patients. Results showed that UC patients had a lower microbiota richness and bacterial load, with a higher proportion of the genus Cellulosimicrobium and a reduced proportion of Escherichia, whereas CD patients showed a decreased abundance of Enterococcus. Furthermore, metabolomic analysis revealed alterations in carboxylic acids, fatty acids, and amino acids in UC and CD samples. These patients also exhibited upregulated expression of most metabolite-sensing GPCRs analysed, which positively correlated with pro-inflammatory and pro-fibrotic markers. The role of GPR109A was studied in depth and increased expression of this receptor was detected in epithelial cells and cells from lamina propria, including CD68+ macrophages, in IBD patients. The treatment with beta-hydroxybutyrate increased gene expression of GPR109A, CD86, IL1B and NOS2 in U937-derived macrophages. Besides, when GPR109A was transiently silenced, the mRNA expression and secretion of IL-1beta, IL-6 and TNF-alpha were impaired in M1 macrophages. Finally, the secretome from siGPR109A M1 macrophages reduced the gene and protein expression of COL1A1 and COL3A1 in intestinal fibroblasts. A better understanding of metabolite-sensing GPCRs, such as GPR109A, could establish their potential as therapeutic targets for managing IBD."
ENSG00000039068,CDH1,0.14820908,weak,2,20959534;38442546,2011,Kidney; Large intestine/Colon,Proteomics analysis reveals diabetic kidney as a ketogenic organ in type 2 diabetes.;D-beta-hydroxybutyrate up-regulates Claudin-1 and alleviates the intestinal hyperpermeability in lipopolysaccharide-treated mice.,"Diabetic nephropathy (DN) is the leading cause of end-stage renal disease. To date, the molecular mechanisms of DN remain largely unclear. The present study aimed to identify and characterize novel proteins involved in the development of DN by a proteomic approach. Proteomic analysis revealed that 3-hydroxy-3-methylglutaryl-CoA (HMG-CoA) synthase 2 (HMGCS2), the key enzyme in ketogenesis, was increased fourfold in the kidneys of type 2 diabetic db/db mice. Consistently, the activity of HMGCS2 in kidneys and 24-h urinary excretion of the ketone body beta-hydroxybutyrate (beta-HB) were significantly increased in db/db mice. Immunohistochemistry, immunofluorescence, and real-time PCR studies further demonstrated that HMGCS2 was highly expressed in renal glomeruli of db/db mice, with weak expression in the kidneys of control mice. Because filtered ketone bodies are mainly reabsorbed in the proximal tubules, we used RPTC cells, a rat proximal tubule cell line, to examine the effect of the increased level of ketone bodies. Treating cultured RPTC cells with 1 mM beta-HB significantly induced transforming growth factor-beta1 expression, with a marked increase in collagen I expression. beta-HB treatment also resulted in a marked increase in vimentin protein expression and a significant reduction in E-cadherin protein levels, suggesting an enhanced epithelial-to-mesenchymal transition in RPTCs. Collectively, these findings demonstrate that diabetic kidneys exhibit excess ketogenic activity resulting from increased HMGCS2 expression. Enhanced ketone body production in the diabetic kidney may represent a novel mechanism involved in the pathogenesis of DN.;The hyperpermeability of intestinal epithelium is a key contributor to the occurrence and development of systemic inflammation. Although D-beta-hydroxybutyrate (BHB) exhibits various protective effects, whether it affects the permeability of intestinal epithelium in systemic inflammation has not been clarified. In this study, we investigated the effects of BHB on the intestinal epithelial permeability, the epithelial marker E-cadherin and the tight junction protein Claudin-1 in colon in the lipopolysaccharide (LPS)-induced systemic inflammation mouse model. Intraperitoneal injection of LPS was used to induce systemic inflammation and BHB was given by oral administration. The permeability of intestinal epithelium, the morphological changes of colonic epithelium, the distribution and generation of colon E-cadherin, and the Claudin-1 generation and its epithelial distribution in colon were detected. The results confirmed the intestinal epithelial hyperpermeability and inflammatory changes in colonic epithelium, with disturbed E-cadherin distribution in LPS-treated mice. Besides, colon Claudin-1 generation was decreased and its epithelial distribution in colon was weakened in LPS-treated mice. However, BHB treatments alleviated the LPS-induced hyperpermeability of intestinal epithelium, attenuated the colonic epithelial morphological changes and promoted orderly distribution of E-cadherin in colon. Furthermore, BHB up-regulated colon Claudin-1 generation and promoted its colonic epithelial distribution and content in LPS-treated mice. In conclusion, BHB may alleviate the hyperpermeability of intestinal epithelium via up-regulation of Claudin-1 in colon in LPS-treated mice."
ENSG00000124762,CDKN1A,0.34266624,weak,1,34246657,2021,Kidney,The ketone body beta-hydroxybutyrate mitigates the senescence response of glomerular podocytes to diabetic insults.,"Diabetic kidney disease (DKD) is one of the most common complications of diabetes and is clinically featured by progressive albuminuria, consequent to glomerular destruction that involves podocyte senescence. Burgeoning evidence suggests that ketosis, in particular beta-hydroxybutyrate, exerts a beneficial effect on aging and on myriad metabolic or chronic diseases, including obesity, diabetes and chronic kidney diseases. Its effect on DKD is largely unknown. In vitro in podocytes exposed to a diabetic milieu, beta-hydroxybutyrate treatment substantially mitigated cellular senescence and injury, as evidenced by reduced formation of gammaH2AX foci, reduced staining for senescence-associated-beta-galactosidase activity, diminished expression of key mediators of senescence signaling like p16(INK4A) and p21, and preserved expression of synaptopodin. This beneficial action of beta-hydroxybutyrate coincided with a reinforced transcription factor Nrf2 antioxidant response. Mechanistically, beta-hydroxybutyrate inhibition of glycogen synthase kinase 3beta (GSK3beta), a convergent point for myriad signaling pathways regulating Nrf2 activity, seems to contribute. Indeed, trigonelline, a selective inhibitor of Nrf2, or ectopic expression of constitutively active mutant GSK3beta abolished, whereas selective activation of Nrf2 was sufficient for the anti-senescent and podocyte protective effects of beta-hydroxybutyrate. Moreover, molecular modeling and docking analysis revealed that beta-hydroxybutyrate is able to directly target the ATP-binding pocket of GSK3beta and thereby block its kinase activity. In murine models of streptozotocin-elicited DKD, beta-hydroxybutyrate therapy inhibited GSK3beta and reinforced Nrf2 activation in glomerular podocytes, resulting in lessened podocyte senescence and injury and improved diabetic glomerulopathy and albuminuria. Thus, our findings may pave the way for developing a beta-hydroxybutyrate-based novel approach of therapeutic ketosis for treating DKD."
ENSG00000147889,CDKN2A,0.2324853,weak,1,34246657,2021,Kidney,The ketone body beta-hydroxybutyrate mitigates the senescence response of glomerular podocytes to diabetic insults.,"Diabetic kidney disease (DKD) is one of the most common complications of diabetes and is clinically featured by progressive albuminuria, consequent to glomerular destruction that involves podocyte senescence. Burgeoning evidence suggests that ketosis, in particular beta-hydroxybutyrate, exerts a beneficial effect on aging and on myriad metabolic or chronic diseases, including obesity, diabetes and chronic kidney diseases. Its effect on DKD is largely unknown. In vitro in podocytes exposed to a diabetic milieu, beta-hydroxybutyrate treatment substantially mitigated cellular senescence and injury, as evidenced by reduced formation of gammaH2AX foci, reduced staining for senescence-associated-beta-galactosidase activity, diminished expression of key mediators of senescence signaling like p16(INK4A) and p21, and preserved expression of synaptopodin. This beneficial action of beta-hydroxybutyrate coincided with a reinforced transcription factor Nrf2 antioxidant response. Mechanistically, beta-hydroxybutyrate inhibition of glycogen synthase kinase 3beta (GSK3beta), a convergent point for myriad signaling pathways regulating Nrf2 activity, seems to contribute. Indeed, trigonelline, a selective inhibitor of Nrf2, or ectopic expression of constitutively active mutant GSK3beta abolished, whereas selective activation of Nrf2 was sufficient for the anti-senescent and podocyte protective effects of beta-hydroxybutyrate. Moreover, molecular modeling and docking analysis revealed that beta-hydroxybutyrate is able to directly target the ATP-binding pocket of GSK3beta and thereby block its kinase activity. In murine models of streptozotocin-elicited DKD, beta-hydroxybutyrate therapy inhibited GSK3beta and reinforced Nrf2 activation in glomerular podocytes, resulting in lessened podocyte senescence and injury and improved diabetic glomerulopathy and albuminuria. Thus, our findings may pave the way for developing a beta-hydroxybutyrate-based novel approach of therapeutic ketosis for treating DKD."
ENSG00000164430,CGAS,0.14092249,weak,2,35940076;39604996,2022,,beta-Hydroxybutyrate against Cisplatin-Induced acute kidney injury via inhibiting NLRP3 inflammasome and oxidative stress.;A ketogenic diet alleviates the apoptosis of granulosa cells by inhibiting the activation of cGAS-STING signaling pathway in PCOS mice.,"Cisplatin, as a commonly used anticancer drug, can easily lead to acute kidney injury (AKI), and has received more and more attention in clinical practice. beta-hydroxybutyric acid (BHB) is a metabolite in the body and acts as an inhibitor of oxidative stress and NLRP3 inflammasome, reducing inflammatory responses and apoptosis. However, the role of BHB in cisplatin-induced AKI is currently not fully elucidated. In this study, C57BL/6 male mice were randomly divided into normal control group, cisplatin-induced AKI group and AKI with BHB treatment group. Compared to the control, cisplatin-treated mice exhibited high level of serum creatinine, blood urea nitrogen and severe tubular injury, which accompanied with significantly increased expression level of NLRP3, IL-1beta, IL-18, BAX, cleaved-caspase 3, as well as aggravated oxidative stress and renal tubular cell apoptosis. However, these changes were significantly improved in that of BHB treatment. In vitro, our study showed that the expression of cleaved-caspase3, IL-1beta and IL-18 were significantly increased in human proximal tubular epithelial cell line (HK-2) treated with cisplatin compared with the control group, while decreased in cells treated with BHB. Furthermore, a significantly increased expression of cGAS and STING in HK-2 cells treated with cisplatin were found, whereas notably decreased in cells treated with BHB. This data indicates that BHB protects against cisplatin-induced AKI and renal tubular damage mediated by NLRP3 inflammasome and cGAS-STING pathway.;BACKGROUND: Polycystic ovary syndrome (PCOS) is the most common cause of anovulatory infertility. The ketogenic diet (KD), a diet high in fat and low in carbohydrates, has been applied clinically for the treatment of obese women with PCOS. We have previously demonstrated that KD improved the reproductive phenotype in an androgen-induced PCOS mouse model, yet the underlying molecular mechanisms remain largely unclear. The aim of the present study was to investigate the effect of KD on the reproductive phenotype of a letrozole-induced PCOS mouse model. METHODS: Female C57BL/6N mice were divided into three groups, designated control, letrozole, and letrozole + KD groups. Mice of control and letrozole groups were fed the control diet, whereas letrozole + KD mice were fed a KD with 89.9% (kcal) fat for 3 weeks after the PCOS mouse model was generated. beta-hydroxybutyrate (BHB), the most abundant ketone body in the body, was used to treat KGN cells with testosterone (T) to simulate the KD effect on PCOS mouse ovaries in vitro. RESULTS: Our data showed that KD treatment significantly increased blood ketone levels and reduced body weight. Ovarian functions were improved in some letrozole + KD mice. Results from in vitro experiments indicated mitochondrial damage owing to high T levels, which resulted in the leakage of cytochrome C and mitochondrial DNA into the cytosol and thus induced the activation of the intracellular caspase cascade and the cGAS-STING-NF-kappaB pathway, leading to granulosa cell inflammation and apoptosis. BHB exhibited certain protective effects on mitochondria of T-treated KGN cells via inhibiting the cGAS-STING pathway. Moreover, the cGAS-STING pathway was activated in ovaries of letrozole mice and was down-regulated in letrozole + KD mice. CONCLUSION: These findings, for the first time, revealed that hyperandrogenism induced ovarian dysfunction possibly through activation of the cGAS-STING pathway, which could be partially inhibited by ketone bodies produced from KD administration."
ENSG00000176194,CIDEA,0.60884476,weak,1,39118207,2024,Adipose tissue,"Attenuation of brown adipocyte whitening in high-fat diet-induced obese rats: Effects of melatonin and beta-hydroxybutyrate on Cidea, Fsp27 and MT1 expression.","AIM: To investigate the effects of beta-hydroxybutyrate (BHB) and melatonin on brown adipose tissue (BAT) plasticity in rats fed a high-fat diet (HFD). METHODS: We employed a 7-week experimental design for a study on 30 male Sprague-Dawley rats divided into five groups: (1) a control-diet fed group, (2) a high-fat diet (HFD)-fed group, (3) a group that received an HFD and a BHB solution in their drinking water, (4) a group that received an HFD with 10 mg/kg/day melatonin in their drinking water, and (5) a group that received an HFD and were also treated with the combination of BHB and melatonin. Following the treatment period, biochemical indices, gene expression levels of key thermogenic markers (including uncoupling protein 1 [UCP1], PR domain containing 16 [PRDM16], Cidea, fat-specific protein 27 [Fsp27], and metallothionein 1 [MT1]), and stereological assessments of BAT were evaluated. RESULTS: Treatment with BHB and melatonin significantly boosted blood ketone levels, improved lipid profiles, and reduced weight gain from an HFD. It also downregulated genes linked to WAT, namely, Cidea and Fsp27, and upregulated key BAT markers, including UCP1, PRDM16 and peroxisome proliferator-activated receptor-gamma coactivator-1-alpha. Additionally, the co-treatment increased MT1 receptor expression and enhanced the structural density of BAT. CONCLUSION: The combined oral administration of BHB and melatonin successfully prevented the whitening of BAT in obese rats fed an HFD, indicating its potential as a therapeutic strategy for obesity-related BAT dysfunction. The synergistic effects of this treatment underscore the potential of a combined approach to address BAT dysfunction in obesity."
